"Label","OTUs","Genus","Morphology","MajorCategory","MorphoFunctionalGroup"
"acaenc","Acanthastrea_encrusting","Acanthastrea","encrusting","Scleractinian","Hard coral_encrusting"
"acamas","Acanthastrea_massive","Acanthastrea","massive","Scleractinian","Hard coral_massive"
"acoenc","Acrozoanthus_encrusting","Acrozoanthus","encrusting","Other Sessile Invertebrates","Zoanthid_encrusting"
"acomas","Acrozoanthus_massive","Acrozoanthus","massive","Other Sessile Invertebrates","Zoanthid_massive"
"acrarb","Acropora_arborescent","Acropora","arborescent","Scleractinian","Hard coral_arborescent"
"acrbus","Acropora_bushy","Acropora","bushy","Scleractinian","Hard coral_bushy"
"acrenc","Acropora_encrusting","Acropora","encrusting","Scleractinian","Hard coral_encrusting"
"acrtab","Acropora_tabular","Acropora","tabular","Scleractinian","Hard coral_tabular"
"actfan","Acanthogorgia_fan","Acanthogorgia","fan","Gorgonian","Gorgonian_fan"
"alcarb","Alcyonacea_arborescent","Alcyonacea","arborescent","Gorgonian","Gorgonian_arborescent"
"alcbus","Alcyonacea_bushy","Alcyonacea","bushy","Gorgonian","Gorgonian_bushy"
"alcfan","Alcyonacea_fan","Alcyonacea","fan","Gorgonian","Gorgonian_fan"
"algunk1","Algae_unknown_sp1","Algae","unknown_sp1","Macroalgae","Macroalgae_unknown"
"algunk2","Algae_unknown_sp2","Algae","unknown_sp2","Macroalgae","Macroalgae_unknown"
"alvenc","Alveopora_encrusting","Alveopora","encrusting","Scleractinian","Hard coral_encrusting"
"alvmas","Alveopora_massive","Alveopora","massive","Scleractinian","Hard coral_massive"
"ampart","Amphiroa_articulated_calcareous","Amphiroa","articulated_calcareous","Macroalgae","Macroalgae_articulated_calcareous"
"ampenc","Amplexidiscus_encrusting","Amplexidiscus","encrusting","Other Sessile Invertebrates","Corallimorpharia_encrusting"
"anabus","Anacropora_bushy","Anacropora","bushy","Scleractinian","Hard coral_bushy"
"anefan","Annella_fan","Annella","fan","Gorgonian","Gorgonian_fan"
"antarb","Antipatharia_arborescent","Antipatharia","arborescent","Antipatharian","Black coral_arborescent"
"antarb1","Antipatharia_arborescent1","Antipatharia","arborescent1","Antipatharian","Black coral_arborescent"
"antarb2","Antipatharia_arborescent2","Antipatharia","arborescent2","Antipatharian","Black coral_arborescent"
"antbus","Antipatharia_bushy","Antipatharia","bushy","Antipatharian","Black coral_bushy"
"antbus1","Antipatharia_bushy1","Antipatharia","bushy1","Antipatharian","Black coral_bushy"
"antbus2","Antipatharia_bushy2","Antipatharia","bushy2","Antipatharian","Black coral_bushy"
"antclu","Anthelia_clustered","Anthelia","clustered","Octocoral","Soft coral_clustered"
"antfan","Anthogorgia_fan","Anthogorgia","fan","Gorgonian","Gorgonian_fan"
"antwhi","Antipatharia_whip","Antipatharia","whip","Antipatharian","Black coral_whip"
"aphcom","Aphanta_corticated_macrophyte","Aphanta","corticated_macrophyte","Macroalgae","Macroalgae_corticated_macrophyte"
"ascclu","Ascidian_clustered","Ascidian","clustered","Other Sessile Invertebrates","Ascidian_clustered"
"ascenc","Ascidian_encrusting","Ascidian","encrusting","Other Sessile Invertebrates","Ascidian_encrusting"
"ascere","Ascidian_erect_single","Ascidian","erect_single","Other Sessile Invertebrates","Ascidian_erect_single"
"aspcom","Asparagopsis_corticated_macrophyte","Asparagopsis","corticated_macrophyte","Macroalgae","Macroalgae_corticated_macrophyte"
"astclu","Asterospicularia_clustered","Asterospicularia","clustered","Octocoral","Soft coral_clustered"
"astenc","Astreopora_encrusting","Astreopora","encrusting","Scleractinian","Hard coral_encrusting"
"astfan","Astrogorgia_fan","Astrogorgia","fan","Gorgonian","Gorgonian_fan"
"astfol","Astreopora_foliose","Astreopora","foliose","Scleractinian","Hard coral_foliose"
"astmas","Astreopora_massive","Astreopora","massive","Scleractinian","Hard coral_massive"
"astoth","Asteroidea_other_life","Asteroidea","other_life","Other Mobile Invertebrates","Other mobile invertebrates"
"atrenc","Astrea_encrusting","Astrea","encrusting","Scleractinian","Hard coral_encrusting"
"atrmas","Astrea_massive","Astrea","massive","Scleractinian","Hard coral_massive"
"bebbus","Bebryce_bushy","Bebryce","bushy","Gorgonian","Gorgonian_bushy"
"bebfan","Bebryce_fan","Bebryce","fan","Gorgonian","Gorgonian_fan"
"bivoth","Bivalvia_other_life","Bivalvia","other_life","Other Mobile Invertebrates","Other mobile invertebrates"
"boulss","boulder_stable_substrate","boulder","stable_substrate","Stable Substrate","Stable substrate"
"brienc","Briareum_encrusting","Briareum","encrusting","Octocoral","Soft coral_encrusting"
"brocof","Brown_algae_corticated_foliose","brown.algae","algae_corticated_foliose","Macroalgae","Macroalgae_corticated_foliose"
"brybus","Bryozoa_bushy","Bryozoa","bushy","Other Sessile Invertebrates","Other sessile invertebrates"
"bryenc","Bryozoa_encrusting","Bryozoa","encrusting","Other Sessile Invertebrates","Other sessile invertebrates"
"brymas","Bryozoa_massive","Bryozoa","massive","Other Sessile Invertebrates","Other sessile invertebrates"
"caebus","Caementabunda_bushy","Caementabunda","bushy","Octocoral","Soft coral_bushy"
"camoth","Camarodonta_other_life","Camarodonta","other_life","Other Mobile Invertebrates","Other mobile invertebrates"
"capbus","Capnella_bushy","Capnella","bushy","Octocoral","Soft coral_bushy"
"carbus","Carijoa_bushy","Carijoa","bushy","Gorgonian","Gorgonian_bushy"
"caulcom","Caulerpa_corticated_macrophyte","Caulerpa","corticated_macrophyte","Macroalgae","Macroalgae_corticated_macrophyte"
"caumas","Caulastrea_massive","Caulastrea","massive","Scleractinian","Hard coral_massive"
"ceralg","Ceratodictyon_corticated_macrophyte","Ceratodictyon","corticated_macrophyte","Macroalgae","Macroalgae_corticated_macrophyte"
"chacom","Chaetomorpha_corticated_macrophyte","Chaetomorpha","corticated_macrophyte","Macroalgae","Macroalgae_corticated_macrophyte"
"chdfil","Chlorodesmis_filamentous","Chlorodesmis","filamentous","Macroalgae","Macroalgae_filamentous_Algae"
"chibus","Chironephthya_bushy","Chironephthya","bushy","Octocoral","Soft coral_bushy"
