"Region","Depth","MajorCategory","Percent","Percent2"
"North","5","Turf Algae",0.419555555555556,"41.96%"
"North","5","Macroalgae",0.0411428571428571,"4.11%"
"North","5","Crustose Coralline Algae",0.200380952380952,"20.04%"
"North","5","Octocoral",0.000634920634920635,"0.06%"
"North","5","Scleractinian",0.232253968253968,"23.23%"
"North","5","Sponge",0.00901587301587302,"0.90%"
"North","5","Other Sessile Invertebrates",0.0685714285714286,"6.86%"
"North","5","Other Mobile Invertebrates",0.00507936507936508,"0.51%"
"North","5","Unstable Substrate",0.0123174603174603,"1.23%"
"North","5","Stable Substrate",0.00368253968253968,"0.37%"
"North","5","Shadow",0.00711111111111111,"0.71%"
"North","5","Other",0.000253968253968254,"0.03%"
"North","15","Turf Algae",0.315936507936508,"31.59%"
"North","15","Macroalgae",0.00279365079365079,"0.28%"
"North","15","Crustose Coralline Algae",0.26984126984127,"26.98%"
"North","15","Antipatharian",0.000888888888888889,"0.09%"
"North","15","Gorgonian",0.00253968253968254,"0.25%"
"North","15","Octocoral",0.00165079365079365,"0.17%"
"North","15","Scleractinian",0.334222222222222,"33.42%"
"North","15","Sponge",0.0275555555555556,"2.76%"
"North","15","Other Sessile Invertebrates",0.0144761904761905,"1.45%"
"North","15","Other Mobile Invertebrates",0.000253968253968254,"0.03%"
"North","15","Unstable Substrate",0.00787301587301587,"0.79%"
"North","15","Stable Substrate",0.00215873015873016,"0.22%"
"North","15","Shadow",0.0198095238095238,"1.98%"
"North","30","Turf Algae",0.458201058201058,"45.82%"
"North","30","Macroalgae",0.000423280423280423,"0.04%"
"North","30","Crustose Coralline Algae",0.0122751322751323,"1.23%"
"North","30","Antipatharian",0.028994708994709,"2.90%"
"North","30","Gorgonian",0.0213756613756614,"2.14%"
"North","30","Octocoral",0.0071957671957672,"0.72%"
"North","30","Scleractinian",0.0419047619047619,"4.19%"
"North","30","Sponge",0.164021164021164,"16.40%"
"North","30","Other Sessile Invertebrates",0.0171428571428571,"1.71%"
"North","30","Unstable Substrate",0.235343915343915,"23.53%"
"North","30","Stable Substrate",0.000211640211640212,"0.02%"
"North","30","Shadow",0.0122751322751323,"1.23%"
"North","30","Other",0.000634920634920635,"0.06%"
"Green Island","5","Turf Algae",0.319365079365079,"31.94%"
"Green Island","5","Macroalgae",0.00342857142857143,"0.34%"
"Green Island","5","Crustose Coralline Algae",0.0520634920634921,"5.21%"
"Green Island","5","Octocoral",0.083047619047619,"8.30%"
"Green Island","5","Scleractinian",0.435555555555556,"43.56%"
"Green Island","5","Sponge",0.0501587301587302,"5.02%"
"Green Island","5","Other Sessile Invertebrates",0.0201904761904762,"2.02%"
"Green Island","5","Other Mobile Invertebrates",0.000888888888888889,"0.09%"
"Green Island","5","Other Life",0.000126984126984127,"0.01%"
"Green Island","5","Unstable Substrate",0.0099047619047619,"0.99%"
"Green Island","5","Stable Substrate",0.0234920634920635,"2.35%"
"Green Island","5","Shadow",0.00177777777777778,"0.18%"
"Green Island","15","Turf Algae",0.190095238095238,"19.01%"
"Green Island","15","Macroalgae",0.0932063492063492,"9.32%"
"Green Island","15","Crustose Coralline Algae",0.0924444444444444,"9.24%"
"Green Island","15","Antipatharian",0.000126984126984127,"0.01%"
"Green Island","15","Gorgonian",0.000507936507936508,"0.05%"
"Green Island","15","Octocoral",0.280507936507936,"28.05%"
"Green Island","15","Scleractinian",0.291428571428571,"29.14%"
"Green Island","15","Sponge",0.010031746031746,"1.00%"
"Green Island","15","Other Sessile Invertebrates",0.00533333333333333,"0.53%"
"Green Island","15","Other Mobile Invertebrates",0.0013968253968254,"0.14%"
"Green Island","15","Other Life",0.000126984126984127,"0.01%"
"Green Island","15","Unstable Substrate",0.0138412698412698,"1.38%"
"Green Island","15","Stable Substrate",0.00914285714285714,"0.91%"
"Green Island","15","Shadow",0.0116825396825397,"1.17%"
"Green Island","15","Other",0.000126984126984127,"0.01%"
"Green Island","30","Turf Algae",0.231957671957672,"23.20%"
"Green Island","30","Macroalgae",0.0522751322751323,"5.23%"
"Green Island","30","Crustose Coralline Algae",0.153015873015873,"15.30%"
"Green Island","30","Gorgonian",0.00275132275132275,"0.28%"
"Green Island","30","Octocoral",0.225396825396825,"22.54%"
"Green Island","30","Scleractinian",0.139259259259259,"13.93%"
"Green Island","30","Sponge",0.0323809523809524,"3.24%"
"Green Island","30","Other Sessile Invertebrates",0.00656084656084656,"0.66%"
"Green Island","30","Other Mobile Invertebrates",0.00148148148148148,"0.15%"
"Green Island","30","Unstable Substrate",0.138201058201058,"13.82%"
"Green Island","30","Stable Substrate",0.00656084656084656,"0.66%"
"Green Island","30","Shadow",0.0101587301587302,"1.02%"
"Xiaoliuqiu","5","Turf Algae",0.757714285714286,"75.77%"
"Xiaoliuqiu","5","Macroalgae",0.0460952380952381,"4.61%"
"Xiaoliuqiu","5","Crustose Coralline Algae",0.0436825396825397,"4.37%"
"Xiaoliuqiu","5","Scleractinian",0.107174603174603,"10.72%"
"Xiaoliuqiu","5","Sponge",0.000634920634920635,"0.06%"
"Xiaoliuqiu","5","Other Sessile Invertebrates",0.000253968253968254,"0.03%"
"Xiaoliuqiu","5","Other Mobile Invertebrates",0.00355555555555556,"0.36%"
"Xiaoliuqiu","5","Unstable Substrate",0.0365714285714286,"3.66%"
"Xiaoliuqiu","5","Stable Substrate",0.00419047619047619,"0.42%"
"Xiaoliuqiu","5","Shadow",0.000126984126984127,"0.01%"
"Xiaoliuqiu","15","Turf Algae",0.512253968253968,"51.23%"
"Xiaoliuqiu","15","Macroalgae",0.0582857142857143,"5.83%"
"Xiaoliuqiu","15","Crustose Coralline Algae",0.104761904761905,"10.48%"
"Xiaoliuqiu","15","Octocoral",0.00685714285714286,"0.69%"
"Xiaoliuqiu","15","Scleractinian",0.19352380952381,"19.35%"
"Xiaoliuqiu","15","Sponge",0.00241269841269841,"0.24%"
"Xiaoliuqiu","15","Other Sessile Invertebrates",0.000253968253968254,"0.03%"
"Xiaoliuqiu","15","Other Mobile Invertebrates",0.043047619047619,"4.30%"
"Xiaoliuqiu","15","Unstable Substrate",0.0637460317460317,"6.37%"
"Xiaoliuqiu","15","Stable Substrate",0.0104126984126984,"1.04%"
"Xiaoliuqiu","15","Shadow",0.00419047619047619,"0.42%"
"Xiaoliuqiu","15","Other",0.000253968253968254,"0.03%"
"Xiaoliuqiu","30","Turf Algae",0.576719576719577,"57.67%"
"Xiaoliuqiu","30","Macroalgae",0.0302645502645503,"3.03%"
