"Region","Depth","MajorCategory","Percent","Percent2"
"North","5","Octocoral",0.000634920634920635,"0.06%"
"North","5","Other",0.767111111111111,"76.71%"
"North","5","Scleractinian",0.232253968253968,"23.23%"
"North","15","Antipatharian",0.000888888888888889,"0.09%"
"North","15","Gorgonian",0.00253968253968254,"0.25%"
"North","15","Octocoral",0.00165079365079365,"0.17%"
"North","15","Other",0.660698412698413,"66.07%"
"North","15","Scleractinian",0.334222222222222,"33.42%"
"North","30","Antipatharian",0.028994708994709,"2.90%"
"North","30","Gorgonian",0.0213756613756614,"2.14%"
"North","30","Octocoral",0.0071957671957672,"0.72%"
"North","30","Other",0.9005291005291,"90.05%"
"North","30","Scleractinian",0.0419047619047619,"4.19%"
"Green Island","5","Octocoral",0.083047619047619,"8.30%"
"Green Island","5","Other",0.481396825396825,"48.14%"
"Green Island","5","Scleractinian",0.435555555555556,"43.56%"
"Green Island","15","Antipatharian",0.000126984126984127,"0.01%"
"Green Island","15","Gorgonian",0.000507936507936508,"0.05%"
"Green Island","15","Octocoral",0.280507936507936,"28.05%"
"Green Island","15","Other",0.427428571428571,"42.74%"
"Green Island","15","Scleractinian",0.291428571428571,"29.14%"
"Green Island","30","Gorgonian",0.00275132275132275,"0.28%"
"Green Island","30","Octocoral",0.225396825396825,"22.54%"
"Green Island","30","Other",0.632592592592593,"63.26%"
"Green Island","30","Scleractinian",0.139259259259259,"13.93%"
"Xiaoliuqiu","5","Other",0.892825396825397,"89.28%"
"Xiaoliuqiu","5","Scleractinian",0.107174603174603,"10.72%"
"Xiaoliuqiu","15","Octocoral",0.00685714285714286,"0.69%"
"Xiaoliuqiu","15","Other",0.799619047619048,"79.96%"
"Xiaoliuqiu","15","Scleractinian",0.19352380952381,"19.35%"
"Xiaoliuqiu","30","Octocoral",0.0165079365079365,"1.65%"
"Xiaoliuqiu","30","Other",0.840634920634921,"84.06%"
"Xiaoliuqiu","30","Scleractinian",0.142857142857143,"14.29%"
