Region,Site,Depth,PAR
North,KI,30,4.7
North,KI,30,9.1
North,KI,30,10.1
North,KI,30,7.9
North,KI,30,6.1
North,KI,30,3.6
North,KI,30,5.9
North,KI,30,8.1
North,KI,30,8.7
North,KI,30,2.9
North,KI,30,1.4
North,KI,30,3.1
North,KI,30,5.5
North,KI,30,9.4
North,KI,30,14.9
North,KI,30,21.8
North,KI,30,6.7
North,KI,30,9.5
North,KI,30,14.6
North,KI,30,16.9
North,KI,30,13.7
North,KI,30,24.4
North,KI,30,41.4
North,KI,15,18.6
North,KI,15,25.6
North,KI,15,26.7
North,KI,15,27.9
North,KI,15,27.6
North,KI,15,26.7
North,KI,15,23.9
North,KI,15,24.3
North,KI,15,26.9
North,KI,15,30.1
North,KI,15,32.2
North,KI,15,29.2
North,KI,15,23.9
North,KI,15,24.4
North,KI,15,25.3
North,KI,15,25.7
North,KI,15,31.2
North,KI,15,35.7
North,KI,15,30.8
North,KI,15,34.7
North,KI,15,34
North,KI,15,25.9
North,KI,15,25.6
North,KI,15,31.2
North,KI,15,36.1
North,KI,15,41.6
North,KI,15,48
North,KI,15,43.5
North,KI,15,48.3
North,KI,15,51.9
North,KI,15,43
North,KI,15,49.6
North,KI,15,44.5
North,KI,15,53.7
North,KI,15,48.3
North,KI,15,40
North,KI,15,29.5
North,KI,15,30
North,KI,15,38.5
North,KI,15,32
North,KI,15,25.5
North,KI,15,26
North,KI,15,26.5
North,KI,15,23.4
North,KI,15,22.6
North,KI,15,20.4
North,KI,5,121.2
North,KI,5,101.5
North,KI,5,155.9
North,KI,5,174.7
North,KI,5,179.9
North,KI,5,163.2
North,KI,5,163.5
North,KI,5,158.9
North,KI,5,152.6
North,KI,5,147.3
North,KI,5,143.4
North,KI,5,140.5
North,KI,5,136.6
North,KI,5,132.4
North,KI,5,128.6
North,KI,5,124.5
North,KI,5,120.9
North,KI,5,118.4
North,KI,5,114.6
North,KI,5,109.8
North,KI,5,105
North,KI,5,100.8
North,KI,5,97.3
North,KI,5,94.6
North,KI,5,94.1
North,KI,5,95.4
North,KI,5,97
North,KI,5,99.5
North,KI,5,102.1
North,KI,5,104.7
North,KI,5,106.6
North,KI,5,107.5
North,KI,5,109.7
North,KI,5,112
North,KI,5,112.5
North,KI,5,112.9
North,KI,5,114.5
North,KI,5,116.1
North,KI,5,117.9
North,KI,5,119.4
North,KI,5,120.5
North,KI,5,120
North,KI,5,118.9
North,KI,5,102
North,BT,30,4.7
North,BT,30,4.8
North,BT,30,4.9
North,BT,30,5
North,BT,30,4.6
North,BT,30,23.7
North,BT,30,17.1
North,BT,30,4.7
North,BT,30,5.4
North,BT,30,5.9
North,BT,30,6
North,BT,30,6.1
North,BT,30,6.1
North,BT,30,6.1
North,BT,30,6.2
North,BT,30,6.3
North,BT,30,6.4
North,BT,30,7
North,BT,30,7.9
North,BT,30,7.3
North,BT,15,29.3
North,BT,15,44.8
North,BT,15,69.8
North,BT,15,74.5
North,BT,15,70.4
North,BT,15,68.3
North,BT,15,68.7
North,BT,15,54.7
North,BT,15,52.4
North,BT,15,47.4
