Region,Site,Depth,PAR
North,KI,30,663
North,KI,30,339
North,KI,15,183.1
North,KI,15,276.9
North,KI,5,393.5
North,BT,30,226.4
North,BT,30,317.1
North,BT,15,884.7
North,BT,5,145.5
North,BT,5,221.4
North,FL,30,470.8
North,FL,30,599.6
North,FL,15,425.6
North,FL,5,206.4
Green Island,GG,30,1376.9
Green Island,GG,30,1970.1
Green Island,GG,15,2058.4
Green Island,GG,15,1556.0
Green Island,GG,5,2318.4
Green Island,DBS,30,2020.0
Green Island,DBS,15,1949.2
Green Island,DBS,15,847.6
Green Island,DBS,5,1939.4
Green Island,DBS,5,1439.4
Green Island,GW,30,1658.7
Green Island,GW,30,2015.5
Green Island,GW,15,2377.9
Green Island,GW,15,2333.7
Green Island,GW,5,1201.9
Green Island,GW,5,2077.6
Xiaoliuqiu,DF,30,2157.0
Xiaoliuqiu,DF,15,1916.5
Xiaoliuqiu,DF,15,1191.3
Xiaoliuqiu,DF,5,2183.7
Xiaoliuqiu,VN,30,2263.2
Xiaoliuqiu,VN,15,1289.4
Xiaoliuqiu,VN,15,645.3
Xiaoliuqiu,VN,5,2360.6
Xiaoliuqiu,VN,5,2523.5
Xiaoliuqiu,LC,30,1492.2
Xiaoliuqiu,LC,15,860.6
Xiaoliuqiu,LC,15,967.6
Xiaoliuqiu,LC,5,1398.2
Xiaoliuqiu,LC,5,1809.8
