"Region","Site","Depth","PAR.D.Mean","PAR.S.Mean","Light.Attenuation"
"Green Island","DBS","5",501.975675675676,1689.4,0.297132517861771
"Green Island","DBS","15",122.227659574468,1398.4,0.0874053629680121
"Green Island","DBS","30",185.92,2020,0.092039603960396
"Green Island","GG","5",701.06875,2318.4,0.302393353174603
"Green Island","GG","15",213.44358974359,1807.2,0.118107342708936
"Green Island","GG","30",67.4842105263158,1673.5,0.0403251930243895
"Green Island","GW","5",570.862264150943,1639.75,0.348139816527485
"Green Island","GW","15",381.922222222222,2355.8,0.162119968682495
"Green Island","GW","30",130.375,1837.1,0.0709678297316423
"North","BT","5",40.927027027027,183.45,0.223096358828166
"North","BT","15",42.0690476190476,884.7,0.0475517662699758
"North","BT","30",7.31,271.75,0.0268997240110396
"North","FL","5",29.76,206.4,0.144186046511628
"North","FL","15",21.2833333333333,425.6,0.0500078320802005
"North","FL","30",5.02352941176471,535.2,0.00938626571704915
"North","KI","5",122.031818181818,393.5,0.310118978861037
"North","KI","15",32.4130434782609,230,0.140926275992439
"North","KI","30",10.8869565217391,501,0.0217304521391999
"Xiaoliuqiu","DF","5",577.723529411765,2183.7,0.264561766456823
"Xiaoliuqiu","DF","15",220.815555555556,1553.9,0.142104096502706
"Xiaoliuqiu","DF","30",152.211538461538,2157,0.0705663136122107
"Xiaoliuqiu","LC","5",562.166666666667,1604,0.350477971737323
"Xiaoliuqiu","LC","15",56.8285714285714,914.1,0.0621688780533546
"Xiaoliuqiu","LC","30",127.273684210526,1492.2,0.0852926445587229
"Xiaoliuqiu","VN","5",663.44054054054,2442.05,0.271673610507787
"Xiaoliuqiu","VN","15",137.54,967.35,0.14218225047811
"Xiaoliuqiu","VN","30",142.561538461538,2263.2,0.0629911357642005
