Label,OTUs,MajorCategory,Note
acaenc,Acanthastrea_encrusting,Hard coral,
acamas,Acanthastrea_massive,Hard coral,
acoenc,Acrozoanthus_encrusting,Zoanthid,
acomas,Acrozoanthus_massive,Zoanthid,
acrarb,Acropora_arborescent,Hard coral,
acrbus,Acropora_bushy,Hard coral,
acrenc,Acropora_encrusting,Hard coral,
acrtab,Acropora_tabular,Hard coral,
actfan,Acanthogorgia_fan,Gorgonian,
alcarb,Alcyonacea_arborescent,Gorgonian,
alcbus,Alcyonacea_bushy,Gorgonian,
alcfan,Alcyonacea_fan,Gorgonian,
algunk1,Algae_unknown_sp1,Macroalgae,
algunk2,Algae_unknown_sp2,Macroalgae,
alvenc,Alveopora_encrusting,Hard coral,
alvmas,Alveopora_massive,Hard coral,
ampart,Amphiroa_articulated_calcareous,Macroalgae,
ampenc,Amplexidiscus_encrusting,Corallimorpharia,
anabus,Anacropora_bushy,Hard coral,
anefan,Annella_fan,Gorgonian,
antarb,Antipatharia_arborescent,Black coral,
antarb1,Antipatharia_arborescent1,Black coral,
antarb2,Antipatharia_arborescent2,Black coral,
antbus,Antipatharia_bushy,Black coral,
antbus1,Antipatharia_bushy1,Black coral,
antbus2,Antipatharia_bushy2,Black coral,
antclu,Anthelia_clustered,Soft coral,
antfan,Anthogorgia_fan,Gorgonian,
antwhi,Antipatharia_whip,Black coral,
aphcom,Aphanta_corticated_macrophyte,Macroalgae,
ascclu,Ascidian_clustered,Ascidian,
ascenc,Ascidian_encrusting,Ascidian,
ascere,Ascidian_erect_single,Ascidian,
aspcom,Asparagopsis_corticated_macrophyte,Macroalgae,
astclu,Asterospicularia_clustered,Soft coral,
astenc,Astreopora_encrusting,Hard coral,
astfan,Astrogorgia_fan,Gorgonian,
astfol,Astreopora_foliose,Hard coral,
astmas,Astreopora_massive,Hard coral,
astoth,Asteroidea_other_life,Other mobile invertebrates,
atrenc,Astrea_encrusting,Hard coral,
atrmas,Astrea_massive,Hard coral,
bebbus,Bebryce_bushy,Gorgonian,
bebfan,Bebryce_fan,Gorgonian,
bivoth,Bivalvia_other_life,Other mobile invertebrates,
boulss,boulder_stable_substrate,Stable substrate,
brienc,Briareum_encrusting,Soft coral,
brocof,Brown_algae_corticated_foliose,Macroalgae,
brybus,Bryozoa_bushy,Other sessile invertebrates,
bryenc,Bryozoa_encrusting,Other sessile invertebrates,
brymas,Bryozoa_massive,Other sessile invertebrates,
caebus,Caementabunda_bushy,Soft coral,
camoth,Camarodonta_other_life,Other mobile invertebrates,
capbus,Capnella_bushy,Soft coral,
carbus,Carijoa_bushy,Gorgonian,
caulcom,Caulerpa_corticated_macrophyte,Macroalgae,
caumas,Caulastrea_massive,Hard coral,
ceralg,Ceratodictyon_corticated_macrophyte,Macroalgae,
